"日期","收市","開市","高","低","成交量","更改%"
"2011年5月1日","3.6","3.5","3.9","2.5","154.50K","4.00%"
"2011年4月24日","3.5","1.7","4.2","1.5","315.37K","105.88%"
"2011年4月17日","1.7","1.0","2.0","1.0","230.94K","61.90%"
"2011年4月10日","1.0","0.7","1.1","0.7","222.10K","43.84%"
"2011年4月3日","0.7","0.8","0.8","0.6","94.68K","-6.65%"
"2011年3月27日","0.8","0.9","0.9","0.8","37.89K","-8.56%"
"2011年3月20日","0.9","0.8","0.9","0.7","65.51K","11.79%"
"2011年3月13日","0.8","0.9","0.9","0.7","47.85K","-16.67%"
"2011年3月6日","0.9","0.9","0.9","0.8","54.39K","0.00%"
"2011年2月27日","0.9","1.0","1.0","0.8","71.26K","0.00%"
"2011年2月20日","1.0","0.9","1.0","0.8","53.11K","0.00%"
"2011年2月13日","0.9","1.1","1.1","0.8","70.90K","-12.13%"
"2011年2月6日","1.1","0.9","1.1","0.8","111.64K","17.39%"
"2011年1月30日","0.9","0.4","0.9","0.4","177.62K","109.57%"
"2011年1月23日","0.4","0.4","0.4","0.4","64.42K","0.00%"
"2011年1月16日","0.4","0.4","0.4","0.3","82.88K","15.10%"
"2011年1月9日","0.4","0.3","0.4","0.3","97.03K","19.54%"
"2011年1月2日","0.3","0.3","0.3","0.3","56.70K","0.00%"
"2010年12月26日","0.3","0.2","0.3","0.2","62.38K","20.05%"
"2010年12月19日","0.2","0.2","0.3","0.2","40.10K","0.00%"
"2010年12月12日","0.2","0.2","0.3","0.2","37.50K","0.00%"
"2010年12月5日","0.2","0.2","0.2","0.2","66.89K","0.00%"
"2010年11月28日","0.2","0.3","0.3","0.2","136.93K","-27.56%"
"2010年11月21日","0.3","0.3","0.3","0.3","73.38K","0.00%"
"2010年11月14日","0.3","0.3","0.3","0.2","146.41K","0.00%"
"2010年11月7日","0.3","0.4","0.5","0.1","341.46K","-29.23%"
"2010年10月31日","0.4","0.2","0.5","0.1","228.00K","96.08%"
"2010年10月24日","0.2","0.1","0.2","0.1","205.85K","88.53%"
"2010年10月17日","0.1","0.1","0.1","0.1","165.87K","0.00%"
"2010年10月10日","0.1","0.1","0.1","0.1","206.14K","0.00%"
"2010年10月3日","0.1","0.1","0.1","0.0","472.96K","0.00%"
"2010年9月26日","0.1","0.1","0.1","0.1","76.07K","0.00%"
"2010年9月19日","0.1","0.1","0.1","0.1","62.80K","0.00%"
"2010年9月12日","0.1","0.1","0.2","0.1","43.62K","0.00%"
"2010年9月5日","0.1","0.1","0.1","0.1","29.59K","0.00%"
"2010年8月29日","0.1","0.1","0.1","0.0","71.76K","0.00%"
"2010年8月22日","0.1","0.1","0.1","0.1","52.94K","0.00%"
"2010年8月15日","0.1","0.1","0.1","0.1","46.72K","0.00%"
"2010年8月8日","0.1","0.1","0.1","0.1","41.26K","0.00%"
"2010年8月1日","0.1","0.1","0.1","0.1","28.56K","0.00%"
"2010年7月25日","0.1","0.1","0.1","0.1","25.29K","0.00%"
"2010年7月18日","0.1","0.0","0.1","0.1","6.55K","0.00%"
